実績明細オブジェクト一覧へ戻る,,,,,,,,,,
オブジェクト一覧へ戻る,,,,,,,,,,
,,,,,,,,,,
,プロジェクト名,,次期基幹システム構築プロジェクト,作成,2023/04/26,AB桑原,,,,
,文書名,,オブジェクト・項目定義書,最終更新,2025/01/14,SFJ上西,,,,
,,,,,,,,,,
,オブジェクト情報,,,,,,,,,
,＃,表示ラベル,API参照名,レポートで使用する,活動の追跡,項目履歴管理,,,,
,18,受注伝票就業条件,SalesOrderEmploymentConditions__c,〇,-,〇,,,,
,,,,,,,,,,
,,,,,,,,,,
,項目一覧,,,,,,,,,
,NO,表示ラベル,API参照名,データ型,選択リスト値,デフォルト値,確認／コメント,,"CSVからの
取込み対象",コメント
,142,午前半日休-所定休憩10終了時刻,AMOffBreakEndTime10__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,143,午前半日休-所定休憩6終了時刻,AMOffBreakEndTime6__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,144,午前半日休-所定休憩7終了時刻,AMOffBreakEndTime7__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,145,午前半日休-所定休憩8終了時刻,AMOffBreakEndTime8__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,146,午前半日休-所定休憩9終了時刻,AMOffBreakEndTime9__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,147,午前半日休-所定休憩10開始時刻,AMOffBreakStartTime10__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,148,午前半日休-所定休憩6開始時刻,AMOffBreakStartTime6__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,149,午前半日休-所定休憩7開始時刻,AMOffBreakStartTime7__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,150,午前半日休-所定休憩8開始時刻,AMOffBreakStartTime8__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,151,午前半日休-所定休憩9開始時刻,AMOffBreakStartTime9__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
